GENEID	sample_579_PAG75663_mapped_filtered_sorted	sample_1131_PAM44580_mapped_filtered_sorted	sample_1218_PAM43779_mapped_filtered_sorted	sample_1304_PAM44487_mapped_filtered_sorted	sample_1271_PAM44815_mapped_filtered_sorted	sample_5356_PAM42933_mapped_filtered_sorted	sample_1163_PAM44604_mapped_filtered_sorted	sample_5295_PAG77944_mapped_filtered_sorted	sample_5292_PAG75292_mapped_filtered_sorted	sample_1092_PAM41667_mapped_filtered_sorted	sample_1186_PAM43869_mapped_filtered_sorted	sample_1291_PAG71816_mapped_filtered_sorted
BambuGene100055	3	208	121	324	360	239	409	205	242	216	269	166
BambuGene10063	40	59	21	92	122	107	70	37	76	18	29	41
BambuGene100716	30	80	75	125	101	114	53	55	55	49	59	52
BambuGene100804	0	3	82	0	67	1	324	2	9	1	4	12
BambuGene100977	172	151	120	155	297	187	242	101	232	138	125	139
BambuGene101551	2	1	3	2	0	2	7	5	23	1	2	3
BambuGene102447	19	71	158	25	136	47	118	17	193	40	13	8
BambuGene102523	11	27	32	24	23	19	25	19	21	18	25	15
BambuGene10287	355	43	272	122	68	195	39	103	260	156	5	205
BambuGene102917	35	20	28	55	34	32	52	15	12	3	24	16
BambuGene10293	0	31	0	0	1	22	0	33	0	0	29	15
BambuGene103173	0	0	10	0	0	0	2	8	9	0	0	8
BambuGene103201	0	1	5	2	1	30	6	2	2	22	7	62
BambuGene103235	14	15	49	9	4	29	57	48	14	12	6	47
BambuGene103241	41	22	58	34	47	18	21	50	61	4	17	62
BambuGene103378	43	98	59	78	123	140	61	169	3	48	146	53
BambuGene103520	169	368	203	511	376	497	469	404	241	245	442	302
BambuGene103608	34	82	33	115	255	131	279	26	151	126	177	103
BambuGene104063	20	7	7	12	8	3	3	3	6	10	16	0
BambuGene104291	9	1	15	0	0	12	25	19	5	8	18	20
BambuGene104300	9	0	3	8	3	0	2	0	3	5	10	5
BambuGene104567	902	1204	748	1389	1428	1616	1311	833	1254	904	1004	711
BambuGene104594	5	6	9	2	8	0	5	1	1	0	24	8
BambuGene104696	4	17	35	27	37	50	32	58	26	10	38	36
BambuGene105183	10	5	8	6	10	7	25	14	7	0	10	4
BambuGene105345	2	15	0	76	17	0	3	2	5	1	4	0
BambuGene105472	6	7	9	4	0	0	14	0	14	7	11	0
BambuGene105568	38	5	19	5	8	4	9	17	17	5	9	3
BambuGene105586	14	79	57	115	61	86	59	37	72	36	47	23
BambuGene105704	4	17	7	0	20	0	8	14	8	0	26	0
BambuGene105903	4	2	6	12	39	28	10	25	15	15	5	2
BambuGene105990	52	17	59	34	45	22	224	24	27	11	13	40
BambuGene106346	9	5	6	0	5	0	16	16	0	5	3	3
BambuGene106436	38	1	1	0	0	1	0	0	9	1	0	0
BambuGene106497	261	118	416	63	174	188	116	239	313	87	27	582
BambuGene106731	39	25	18	0	25	0	61	43	9	4	0	0
BambuGene106871	29	48	24	81	108	43	36	22	57	43	37	35
BambuGene107229	67	131	74	180	282	254	249	129	90	54	113	78
BambuGene107484	77	7	43	23	43	1	38	67	94	23	39	121
BambuGene107861	16	5	11	121	168	16	25	24	80	38	25	10
BambuGene10792	94	90	66	61	443	59	399	94	60	65	73	60
BambuGene107991	9	7	4	1	6	0	27	2	9	10	1	0
BambuGene108147	10	25	54	34	45	15	141	57	15	14	20	75
BambuGene108583	44	22	55	64	119	83	133	6	17	67	84	49
BambuGene109276	6	0	16	0	4	2	18	6	7	1	0	17
BambuGene109408	9	26	1	48	9	4	62	23	39	11	39	13
BambuGene109449	7	3	25	0	8	61	14	28	8	10	0	14
BambuGene109541	32	0	41	3	6	0	3	36	6	17	9	1
BambuGene109685	16	4	26	3	1	5	8	19	8	0	14	49
BambuGene110205	2	12	8	22	5	19	96	10	7	59	19	11
BambuGene110604	81	188	92	63	155	178	179	15	84	72	52	45
BambuGene110709	20	3	1	15	5	0	24	21	45	30	2	0
BambuGene110712	0	2	4	3	11	0	44	1	11	33	0	0
BambuGene111450	2	8	42	2	13	2	34	13	22	4	8	44
BambuGene111453	67	13	37	18	36	26	16	35	29	31	37	24
BambuGene111541	1	43	15	0	39	0	10	7	0	5	46	2
BambuGene111882	0	2	0	19	21	0	24	18	16	5	71	11
BambuGene111913	41	28	36	64	72	3	49	34	50	12	43	23
BambuGene112144	3	0	7	3	5	3	7	1	5	4	17	22
BambuGene112654	36	1	0	19	6	6	3	20	7	12	4	2
BambuGene112719	0	9	10	16	26	0	13	0	7	0	0	0
BambuGene112761	16	4	14	9	19	8	1	3	21	23	12	38
BambuGene112947	0	5	1	3	2	3	10	2	0	0	2	20
BambuGene113471	101	82	66	113	99	102	148	77	117	69	96	71
BambuGene113515	2	15	20	8	17	10	32	14	36	2	18	16
BambuGene113652	19	3	7	5	61	8	11	206	43	27	83	21
BambuGene113985	0	0	0	5	0	0	0	0	0	0	0	0
BambuGene114006	5	1	4	0	14	1	6	0	0	3	0	0
